"county","average_precipitation","flood_incidents","school_year","attendance"
"Braxton",11480.8333333333,0,"2003-2004",96.4
"Braxton",8660.33333333333,0,"2004-2005",96.6
"Braxton",6236,0,"2005-2006",96.33
"Braxton",7293.6,0,"2006-2007",96.69
"Braxton",9405.8,0,"2007-2008",93.63
"Braxton",8587,0,"2008-2009",95.29
"Braxton",7467.2,0,"2009-2010",95.71
"Braxton",9177.6,0,"2010-2011",95.79
"Braxton",9952,0,"2011-2012",96.22
"Braxton",8155.4,0,"2012-2013",92.97
"Braxton",7640.8,0,"2013-2014",96.22
"Braxton",8416,1,"2014-2015",91.16
"Braxton",7887.6,0,"2015-2016",92.53
"Braxton",8402.6,0,"2016-2017",92.22
"Braxton",9931.6,0,"2017-2018",92.58
"Braxton",10467.6,0,"2018-2019",92.39
"Braxton",9860.6,0,"2019-2020",92.46
"Braxton",7544,0,"2020-2021",93.98
"Cabell",9772.5,0,"2003-2004",95.4
"Cabell",8179.5,0,"2004-2005",96.57
"Cabell",5321.75,0,"2005-2006",96.66
"Cabell",7589.25,0,"2006-2007",96.83
"Cabell",8163.75,0,"2007-2008",95.76
"Cabell",5588.4,0,"2008-2009",96.04
"Cabell",5501.25,0,"2009-2010",95.76
"Cabell",8239.5,0,"2010-2011",96.24
"Cabell",7562.57142857143,0,"2011-2012",96.44
"Cabell",6998.16666666667,0,"2012-2013",96.46
"Cabell",6635.5,0,"2013-2014",95.64
"Cabell",5967.6,1,"2014-2015",91.79
"Cabell",7608.25,0,"2015-2016",92.23
"Cabell",6631,0,"2016-2017",92.58
"Cabell",6834.6,0,"2017-2018",91.62
"Cabell",9926.8,0,"2018-2019",92.88
"Cabell",8603,0,"2019-2020",92.78
"Cabell",8298.8,1,"2020-2021",93.32
"Grant",9695,0,"2003-2004",97.99
"Grant",9003.25,0,"2004-2005",97.65
"Grant",7087.8,0,"2005-2006",98.33
"Grant",8634,0,"2006-2007",98.18
"Grant",9564.6,0,"2007-2008",97.46
"Grant",7917.4,0,"2008-2009",97.65
"Grant",7658.6,0,"2009-2010",97.66
"Grant",9386.2,0,"2010-2011",98.05
"Grant",8559,0,"2011-2012",97.65
"Grant",7487.2,0,"2012-2013",97.88
"Grant",6191.66666666667,0,"2013-2014",97.55
"Grant",7338,0,"2014-2015",93.44
"Grant",6935.66666666667,0,"2015-2016",93.01
"Grant",7176.57142857143,0,"2016-2017",94.01
"Grant",7033.42857142857,0,"2017-2018",93.86
"Grant",9455.16666666667,0,"2018-2019",93.94
"Grant",8408,0,"2019-2020",93.35
"Grant",7060.57142857143,0,"2020-2021",95.28
"Jackson",11306.5,0,"2003-2004",98.81
"Jackson",10160,0,"2004-2005",98.85
"Jackson",6710,0,"2005-2006",98.06
"Jackson",9590,0,"2006-2007",96.57
"Jackson",8708.5,0,"2007-2008",95.35
"Jackson",4165.75,0,"2008-2009",95.73
"Jackson",7426,0,"2009-2010",96.68
"Jackson",7388.4,0,"2010-2011",95.96
"Jackson",10107.25,0,"2011-2012",97.17
"Jackson",8152.5,0,"2012-2013",97.78
"Jackson",7442.25,0,"2013-2014",97.02
"Jackson",6792.25,2,"2014-2015",92.66
"Jackson",6008,0,"2015-2016",93.37
"Jackson",6771.4,0,"2016-2017",92.98
"Jackson",7639,0,"2017-2018",92.83
"Jackson",9316.75,0,"2018-2019",92.63
"Jackson",8891.33333333333,0,"2019-2020",93.12
"Jackson",7355.5,0,"2020-2021",94.58
